# KD11-B control store, October 1973 drawing set. Bits as printed; NXT is active low.
# NXTADDR is the decoded next microaddress (MPC complemented). ALUCODE/ALUOP decode
# the 5-bit ALU field against the operation table in EK-KD11B-MM-001. SPA is the
# 4-bit scratchpad address ROM-SPA-3..0, which the listing prints as four separate
# non-adjacent single-bit columns (SP3 SP2 SP1 SP0) and is assembled here.
# Symbolic columns decode the fields per kd11b-fieldvalues.tsv. BUT and BRG need the
# printed bits unscrambled first; see kd11b-README.md.
NAM	LOC	NXTADDR	ALUCODE	SPA	BUTNAME	ALUOP	BRGNAME	BLEG	TNSNAME	ALGNAME	SPAMUX	SPFNAME	ABTNAME	FSHNAME	CKONAME	NXT	ALU	CRI	FSH	AUX	PSW	SP1	SP3	DIP	SM0	SP0	SM1	BBT	BAR	BTP	SPF	SP2	CKO	ABT	TNS	ALG	BRG	BUT	WORD40
F-4	364	061	01	0	IR-CLK	AL	LOAD	BREG	NONE	NULL	BA	READ	NO	NO	OFF	11001110	00001	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	11	10	11	0000	1100111000001011100100011110111110110000
F-5	061	001	13	0	CONST	BL	LOAD	SEX	NONE	SP	ROM	READ	NO	NO	OFF	11111110	01011	0	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	11	11	11	0111	1111111001011011100110111010111111110111
H-1	041	302	01	7	NON	AL	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00111101	00001	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	11	11	11	1111	0011110100001011110111111111111111111111
H-2	302	300	01	15	MOV	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	00111111	00001	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	11	11	00	0110	0011111100001011111111110111111111000110
INT-1	325	246	01	10	NON-MOD	AL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	01011001	00001	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	11	11	00	1000	0101100100001011111110111100111111001000
IT-1	273	245	01	4	JMP/JSR	AL	LOAD	BREG	NONE	NULL	ROM	READ	NO	NO	OFF	01011010	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	11	10	11	1101	0101101000001011100110111111111110111101
J1-1	204	260	01	0	NON	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	01001111	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1111	0100111100001011100110111110111111001111
J1-2	260	040	13	7	BYTE	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	11011111	01011	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	11	11	00	1100	1101111101011011110111111101111111001100
J2-1	212	261	01	0	NON	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	01001110	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	11	11	00	1111	0100111000001011100110111110111111001111
J2-1A	261	262	13	9	NON	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	01001101	01011	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	11	11	00	1111	0100110101011011101111111100111111001111
J2-2	262	214	22	6	INTR	A_minus_B_minus_1	LOAD	BREG/+1	NONE	SP	ROM	READ	NO	NO	OFF	01110011	10010	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	11	11	11	0100	0111001110010011110110100111111111110100
